Station Download-Date Data-date
DNTH 2023/07/17 2018/01/01
DNTH 2023/07/17 2017/12/31
DNTH 2023/07/17 2017/12/30
DNTH 2023/07/17 2017/12/29
DNTH 2023/07/17 2017/12/28
DNTH 2023/07/17 2017/12/27
DNTH 2023/07/17 2017/12/26
DNTH 2023/07/17 2017/12/25
DNTH 2023/07/17 2017/12/24
DNTH 2023/07/17 2017/12/23
DNTH 2023/07/17 2017/12/22
DNTH 2023/07/17 2017/12/21
DNTH 2023/07/17 2017/12/20
DNTH 2023/07/17 2017/12/19
DNTH 2023/07/17 2017/12/18
DNTH 2023/07/17 2017/12/17
DNTH 2023/07/17 2017/12/16
DNTH 2023/07/17 2017/12/15
DNTH 2023/07/17 2017/12/14
DNTH 2023/07/17 2017/12/13
DNTH 2023/07/17 2017/12/12
DNTH 2023/07/17 2017/12/11
DNTH 2023/07/17 2017/12/10
DNTH 2023/07/17 2017/12/09
DNTH 2023/07/17 2017/12/08
DNTH 2023/07/17 2017/12/07
DNTH 2023/07/17 2017/12/06
DNTH 2023/07/17 2017/12/05
DNTH 2023/07/17 2017/12/04
DNTH 2023/07/17 2017/12/03
DNTH 2023/07/17 2017/12/02
DNTH 2023/07/17 2017/12/01
DNTH 2023/07/17 2017/11/30
FTP4 2023/07/27 2023/01/31
FTP4 2023/07/27 2023/01/30
FTP4 2023/07/27 2023/01/29
FTP4 2023/07/27 2023/01/28
FTP4 2023/07/27 2023/01/27
FTP4 2023/07/27 2023/01/26
FTP4 2023/07/27 2023/01/25
FTP4 2023/07/27 2023/01/24
FTP4 2023/07/27 2023/01/23
FTP4 2023/07/27 2023/01/22
FTP4 2023/07/27 2023/01/21
FTP4 2023/07/27 2023/01/20
FTP4 2023/07/27 2023/01/19
FTP4 2023/07/27 2023/01/18
FTP4 2023/07/27 2023/01/17
FTP4 2023/07/27 2023/01/16
FTP4 2023/07/27 2023/01/15
FTP4 2023/07/27 2023/01/14
FTP4 2023/07/27 2023/01/13
FTP4 2023/07/27 2023/01/12
FTP4 2023/07/27 2023/01/11
FTP4 2023/07/27 2023/01/10
FTP4 2023/07/27 2023/01/09
FTP4 2023/07/27 2023/01/08
FTP4 2023/07/27 2023/01/07
FTP4 2023/07/27 2023/01/06
FTP4 2023/07/27 2023/01/05
FTP4 2023/07/27 2023/01/04
FTP4 2023/07/27 2023/01/03
FTP4 2023/07/27 2023/01/02
FTP4 2023/07/27 2023/01/01
